SP20_COD,desc_ente,cod_ente
10001,PIEMONTE - P01,CP011
10002,PIEMONTE - P02,CP012
30001,LOMBARDIA - P01,CP031
30002,LOMBARDIA - P02,CP032
30003,LOMBARDIA - P03,CP033
50001,VENETO - P01,CP051
50002,VENETO - P02,CP052
60001,FRIULI-VENEZIA GIULIA - P01,CP061
70001,LIGURIA - P01,CP071
80001,EMILIA-ROMAGNA - P01,CP081
80002,EMILIA-ROMAGNA - P02,CP082
90001,TOSCANA - P01,CP091
100001,UMBRIA - P01,CP101
110001,MARCHE - P01,CP111
120001,LAZIO - P01,CP121
120002,LAZIO - P02,CP122
130001,ABRUZZO - P01,CP131
140001,MOLISE - P01,CP141
150001,CAMPANIA - P01,CP151
150002,CAMPANIA - P02,CP152
160001,PUGLIA - P01,CP161
170001,BASILICATA - P01,CP171
180001,CALABRIA - P01,CP181
190001,SICILIA - P01,CP191
190002,SICILIA - P02,CP192
200001,SARDEGNA - P01,CP201
